seed,mdl_null_bits,nll_null_bits,bits_per_neuron
0,105840256.95124248,24343142.78968532,2958.0016475571524
1,105841276.61424594,24344162.45268878,2958.030144888235
2,105841540.60531339,24344426.443756238,2958.0375228560797
3,105840086.74238412,24342972.580826964,2957.9968905951237
4,105841152.10905215,24344037.94749499,2958.0266652427867
5,105846071.20425788,24348957.042700715,2958.16414309991
6,105842634.27752125,24345520.115964107,2958.0680885811257
7,105838221.50989476,24341107.348337613,2957.944761462641
8,105839861.45602688,24342747.29446973,2957.9905943385284
9,105841073.04462788,24343958.883070726,2958.024455566582
10,105841577.90139973,24344463.73984257,2958.0385651994
11,105841508.26861675,24344394.107059594,2958.036619116759
12,105840217.25157346,24343103.0900163,2958.000538039
13,105840117.2877017,24343003.12614455,2957.9977442693526
14,105841641.59623097,24344527.43467382,2958.040345329392
15,105842563.68746954,24345449.52591239,2958.066115744936
16,105841008.03369918,24343893.87214203,2958.0226386545705
17,105840809.33578303,24343695.174225878,2958.0170854862367
18,105835783.08189103,24338668.920333877,2957.876612780275
19,105835350.27266395,24338236.111106798,2957.8645167173627
