seed,condition,K,acc,CE_bits,H_bits,I_lb
0,Real,4,0.5,1.581522390413119,2.0,0.41847760958688096
0,LabelShuffle,4,0.25,5.602336945982461,2.0,0.0
0,ConnShuffle,4,0.25,2.0,2.0,0.0
1,Real,4,0.45,1.6329660318293828,2.0,0.3670339681706172
1,LabelShuffle,4,0.35,4.548115978691027,2.0,0.0
1,ConnShuffle,4,0.25,2.0,2.0,0.0
2,Real,4,0.55,1.532798672667902,2.0,0.46720132733209807
2,LabelShuffle,4,0.2,4.724028227428482,2.0,0.0
2,ConnShuffle,4,0.25,2.0,2.0,0.0
3,Real,4,0.5,1.6539764228343397,2.0,0.34602357716566035
3,LabelShuffle,4,0.25,5.159449405509351,2.0,0.0
3,ConnShuffle,4,0.25,2.0,2.0,0.0
4,Real,4,0.65,1.559817225212119,2.0,0.44018277478788104
4,LabelShuffle,4,0.25,5.407101521085082,2.0,0.0
4,ConnShuffle,4,0.25,2.0,2.0,0.0
