decoder_family,condition,seed,I_lb
PublishedLinear,Real,0,0.4184776095868809
PublishedLinear,LabelShuffle,0,0.0
PublishedLinear,ConnShuffle,0,0.0
PublishedLinear,Real,1,0.3670339681706172
PublishedLinear,LabelShuffle,1,0.0
PublishedLinear,ConnShuffle,1,0.0
PublishedLinear,Real,2,0.467201327332098
PublishedLinear,LabelShuffle,2,0.0
PublishedLinear,ConnShuffle,2,0.0
PublishedLinear,Real,3,0.3460235771656603
PublishedLinear,LabelShuffle,3,0.0
PublishedLinear,ConnShuffle,3,0.0
PublishedLinear,Real,4,0.440182774787881
PublishedLinear,LabelShuffle,4,0.0
PublishedLinear,ConnShuffle,4,0.0
LinearLogReg_PCA8,Real,0,0.8938252409827268
LinearLogReg_PCA8,Real,1,0.7534084859535948
LinearLogReg_PCA8,Real,2,0.7011325512348419
LinearLogReg_PCA8,Real,3,0.5157011682218946
LinearLogReg_PCA8,Real,4,0.6308519174717973
LinearLogReg_PCA8,ConnShuffle,0,0.9500441002589566
LinearLogReg_PCA8,ConnShuffle,1,0.9114849863708836
LinearLogReg_PCA8,ConnShuffle,2,1.0591761340946522
LinearLogReg_PCA8,ConnShuffle,3,0.9038295033068668
LinearLogReg_PCA8,ConnShuffle,4,0.9340312913963442
LinearLogReg_PCA8,LabelShuffle,0,0.0
LinearLogReg_PCA8,LabelShuffle,1,0.0
LinearLogReg_PCA8,LabelShuffle,2,0.0
LinearLogReg_PCA8,LabelShuffle,3,0.0
LinearLogReg_PCA8,LabelShuffle,4,0.0
NonlinearMLP_PCA8,Real,0,1.1249600173514969
NonlinearMLP_PCA8,Real,1,1.0167599344052487
NonlinearMLP_PCA8,Real,2,1.1210559785609149
NonlinearMLP_PCA8,Real,3,0.8875921789690611
NonlinearMLP_PCA8,Real,4,0.6617601121481251
NonlinearMLP_PCA8,ConnShuffle,0,1.1664733862048968
NonlinearMLP_PCA8,ConnShuffle,1,0.8806487908140987
NonlinearMLP_PCA8,ConnShuffle,2,1.124651935314796
NonlinearMLP_PCA8,ConnShuffle,3,1.053087846939206
NonlinearMLP_PCA8,ConnShuffle,4,0.756753818339321
NonlinearMLP_PCA8,LabelShuffle,0,0.0
NonlinearMLP_PCA8,LabelShuffle,1,0.0
NonlinearMLP_PCA8,LabelShuffle,2,0.0
NonlinearMLP_PCA8,LabelShuffle,3,0.0
NonlinearMLP_PCA8,LabelShuffle,4,0.0
