alpha,beta,gamma,condition,E_trial,Eff_Global,Eff_Local
0.01,0.01,0.0,Real,176933.73819859105,6.13472966388949e-06,6.279786516529806e-07
0.01,0.01,0.0,Null_Conn,176920.9341603553,5.609332296159276e-06,5.92427636187034e-07
0.01,0.01,0.0,Null_Strength,178507.41805849114,6.0492975381648e-06,6.682337669194163e-07
0.01,0.01,1.0,Real,10085351.08284084,1.0762547018482244e-07,1.1017029494879524e-08
0.01,0.01,1.0,Null_Conn,15113372.967727259,6.566425059260532e-08,6.9351064808918604e-09
0.01,0.01,1.0,Null_Strength,9964042.871117838,1.0837413071911446e-07,1.1971514568453712e-08
0.01,0.01,10.0,Real,99261107.18462108,1.0935205973986205e-08,1.1193771004308066e-09
0.01,0.01,10.0,Null_Conn,149541441.2698294,6.636343086072506e-09,7.00895015633152e-10
0.01,0.01,10.0,Null_Strength,98033861.94865195,1.1015015252290935e-08,1.2167702263403978e-09
0.01,0.1,0.0,Real,1061915.3488055202,1.0221536523515696e-06,1.0463226703602485e-07
0.01,0.1,0.0,Null_Conn,1061787.7115899874,9.346579349333923e-07,9.871356550140125e-08
0.01,0.1,0.0,Null_Strength,1077301.9087656792,1.00236013305e-06,1.1072539965046123e-07
0.01,0.1,1.0,Real,10970332.693447769,9.894327570558118e-08,1.012828083256176e-08
0.01,0.1,1.0,Null_Conn,15998239.745156892,6.203234391163436e-08,6.5515239480237755e-09
0.01,0.1,1.0,Null_Strength,10862837.361825027,9.940722194739408e-08,1.0980987786071756e-08
0.01,0.1,10.0,Real,100146088.795228,1.0838572582591714e-08,1.1094852697948512e-09
0.01,0.1,10.0,Null_Conn,150426308.04725903,6.5973055028417484e-09,6.967720751591695e-10
0.01,0.1,10.0,Null_Strength,98932656.43935914,1.0914944806594543e-08,1.2057159757496273e-09
0.01,1.0,0.0,Real,9911731.454874812,1.0951070024560738e-07,1.1210010163383307e-08
0.01,1.0,0.0,Null_Conn,9910455.48588631,1.0013750742997229e-07,1.057598724557992e-08
0.01,1.0,0.0,Null_Strength,10065246.815837558,1.0728445157512297e-07,1.1851143501477914e-08
0.01,1.0,1.0,Real,19820148.799517058,5.4764505718352707e-08,5.605942289826806e-09
0.01,1.0,1.0,Null_Conn,24846907.519453213,3.9940918566037675e-08,4.21834591425757e-09
0.01,1.0,1.0,Null_Strength,19850782.268896908,5.439808215000845e-08,6.009067188207748e-09
0.01,1.0,10.0,Real,108995904.9012973,9.958545261426921e-09,1.0194016962975844e-09
0.01,1.0,10.0,Null_Conn,159274975.82155535,6.230786127785701e-09,6.580622616703383e-10
0.01,1.0,10.0,Null_Strength,107920601.34643103,1.0005916119194197e-08,1.1053004051503956e-09
0.01,10.0,0.0,Real,98409892.51556772,1.1029792071950946e-08,1.1290593608594358e-09
