alpha,beta,gamma,Eff_Global__Null_Conn,Eff_Global__Null_Strength,Eff_Global__Real,Eff_Local__Null_Conn,Eff_Local__Null_Strength,Eff_Local__Real,ratio_global_real_vs_nullconn,ratio_local_real_vs_nullconn
0.01,0.01,0.0,5.609332296159276e-06,6.0492975381648e-06,6.13472966388949e-06,5.92427636187034e-07,6.682337669194163e-07,6.279786516529806e-07,1.0936648677579601,1.0600090429520794
0.01,0.01,1.0,6.566425059260532e-08,1.0837413071911446e-07,1.0762547018482245e-07,6.9351064808918604e-09,1.1971514568453712e-08,1.1017029494879524e-08,1.6390268557628604,1.588588369224682
0.01,0.01,10.0,6.636343086072506e-09,1.1015015252290937e-08,1.0935205973986205e-08,7.00895015633152e-10,1.2167702263403978e-09,1.1193771004308064e-09,1.6477758657378028,1.5970681421091568
0.01,0.1,0.0,9.346579349333924e-07,1.00236013305e-06,1.0221536523515696e-06,9.871356550140125e-08,1.1072539965046126e-07,1.0463226703602485e-07,1.0936125550834943,1.059958340118305
0.01,0.1,1.0,6.203234391163436e-08,9.940722194739409e-08,9.894327570558119e-08,6.5515239480237755e-09,1.0980987786071756e-08,1.0128280832561761e-08,1.5950271981746618,1.545942732242762
0.01,0.1,10.0,6.5973055028417484e-09,1.0914944806594545e-08,1.0838572582591714e-08,6.967720751591694e-10,1.205715975749627e-09,1.109485269794851e-09,1.6428786840207819,1.592321663495774
0.01,1.0,0.0,1.0013750742997229e-07,1.0728445157512297e-07,1.0951070024560738e-07,1.057598724557992e-08,1.1851143501477914e-08,1.1210010163383307e-08,1.0936032167785874,1.0599492891851177
0.01,1.0,1.0,3.994091856603768e-08,5.439808215000846e-08,5.476450571835271e-08,4.21834591425757e-09,6.009067188207748e-09,5.6059422898268064e-09,1.3711378627360797,1.3289432407331283
0.01,1.0,10.0,6.230786127785701e-09,1.0005916119194197e-08,9.958545261426921e-09,6.580622616703383e-10,1.1053004051503954e-09,1.0194016962975844e-09,1.5982807076329537,1.5490961200389608
0.01,10.0,0.0,1.0085744139966276e-08,1.0804420134822142e-08,1.1029792071950946e-08,1.0652022815832463e-09,1.19350690233407e-09,1.1290593608594358e-09,1.0936022091065882,1.0599483125226474
0.01,10.0,1.0,8.756524445551547e-09,9.840902287567956e-09,1.0020841847242331e-08,9.248172161317751e-10,1.0870722036764666e-09,1.025778656344124e-09,1.1443857559642945,1.1091690751980585
0.01,10.0,10.0,4.00549599009647e-09,5.459273050376126e-09,5.496067170335426e-09,4.2303903493010573e-10,6.030568957930975e-10,5.626022726538884e-10,1.3721314873175186,1.3299062880730173
0.01,100.0,0.0,1.0093000455877043e-09,1.081207685750526e-09,1.103772656996961e-09,1.0659686548083419e-10,1.1943526998185742e-10,1.1298715719331579e-10,1.0936021075420108,1.059948214083561
0.01,100.0,1.0,9.941975047734124e-10,1.0707169204675892e-09,1.0927622462300023e-09,1.0500181600210117e-10,1.1827641086496717e-10,1.1186008179042079e-10,1.0991400008382175,1.0653156873799439
0.01,100.0,10.0,8.761993630879243e-10,9.847253876516848e-10,1.002739069121841e-09,9.253948421957143e-11,1.0877738299698448e-10,1.0264490256081835e-10,1.1444188518785978,1.1092011526373917
0.1,0.01,0.0,5.516058950129752e-06,5.93811562357614e-06,6.032713623794716e-06,5.825766049073642e-07,6.559520913810308e-07,6.175358287715113e-07,1.0936637331718166,1.0600079432810487
0.1,0.01,1.0,6.565125519668054e-08,1.0833779061608423e-07,1.0759355027744573e-07,6.9337339767714844e-09,1.1967500270300096e-08,1.1013762028912226e-08,1.6388650903187283,1.5884315818589427
0.1,0.01,10.0,6.6362103263116e-09,1.1014639729800684e-08,1.0934876363388153e-08,7.008809942582036e-10,1.2167287443655666e-09,1.119343360000457e-09,1.647759161585487,1.5970519520009876
0.1,0.1,0.0,9.320318971983316e-07,9.99259982153336e-07,1.0192817428362184e-06,9.84362174596414e-08,1.103829424480131e-07,1.0433828539968065e-07,1.0936125103659629,1.059958296776886
0.1,0.1,1.0,6.202074619033987e-08,9.937664579572489e-08,9.891629741310714e-08,6.550299058812567e-09,1.0977610201008549e-08,1.0125519212627392e-08,1.5948904759954983,1.5458102174747022
0.1,0.1,10.0,6.597174300361957e-09,1.0914576076173757e-08,1.0838248771643804e-08,6.967582182559123e-10,1.2056752440586324e-09,1.1094521230428995e-09,1.6428622737842713,1.5923057582586113
0.1,1.0,0.0,1.0010728843861553e-07,1.0724883846230053e-07,1.0947765246075113e-07,1.057279567755146e-08,1.1847209510070993e-08,1.1206627242780252e-08,1.0936032147937098,1.0599492872613216
0.1,1.0,1.0,3.9936110158163157e-08,5.4388924698788815e-08,5.47562397619334e-08,4.2178380759694244e-09,6.00805561321325e-09,5.605096149173309e-09,1.3710959716676594,1.3289026387967817
0.1,1.0,10.0,6.23066909837425e-09,1.0005606248276313e-08,9.95827189812978e-09,6.58049901650655e-10,1.1052661753560418e-09,1.019373713595142e-09,1.5982668539929625,1.5490826927230608
0.1,10.0,0.0,1.0085437506057817e-08,1.0804058833994181e-08,1.1029456734723474e-08,1.0651698965520212e-09,1.1934669913507308e-09,1.1290250342254203e-09,1.0936022089372555,1.0599483123585258
0.1,10.0,1.0,8.756293308507672e-09,9.840602552771128e-09,1.0020565053197407e-08,9.24792804675062e-10,1.087039093565566e-09,1.0257503224548347e-09,1.1443843530756743,1.1091677154811401
0.1,10.0,10.0,4.005447625802954e-09,5.459180805373542e-09,5.495983906232648e-09,4.2303392695244103e-10,6.030467059776406e-10,5.62593749364052e-10,1.3721272675812088,1.3299021981924888
0.1,100.0,0.0,1.0092969747507811e-09,1.081204067510715e-09,1.103769298706438e-09,1.0659654115548431e-10,1.1943487029412457e-10,1.1298681342352153e-10,1.0936021075253737,1.059948214067436
0.1,100.0,1.0,9.941945251489883e-10,1.0707133721012954e-09,1.092758954604801e-09,1.0500150131012698e-10,1.1827601889579058e-10,1.1185974484479016e-10,1.0991399841404699,1.0653156711960434
