patch_idx,rule,D_Patch,D_Global
0_0,Oja,3.205686061462399,2.2709367844962993
0_0,RewardHebb,1.381561212783999,2.810800636354075
0_0,REINFORCE,3.298269107298037,2.139759629539633
0_0,EProp,1.1349780337828879,2.726134273982271
0_1,Oja,3.2376505524102144,1.8735274798421944
0_1,RewardHebb,1.6690643380703118,2.8144595432568447
0_1,REINFORCE,3.3557026719989524,1.5626399930521924
0_1,EProp,1.2396734701487253,2.664536771292731
0_2,Oja,3.534346458597578,2.3246381608347844
0_2,RewardHebb,1.7262070591637462,2.41509673234288
0_2,REINFORCE,3.5637898011053615,1.9194763373084287
0_2,EProp,1.4229955275094306,2.370295153087923
0_3,Oja,3.869678677465535,2.29439650736186
0_3,RewardHebb,1.8344343171861952,2.560747960141395
0_3,REINFORCE,3.9014650342884263,2.0119083905851167
0_3,EProp,1.397502641847945,2.3632554639042915
0_4,Oja,3.03820555340283,1.9975460203790656
0_4,RewardHebb,1.7148553323644686,3.063856087440093
0_4,REINFORCE,3.057905421723197,1.6409816320998252
0_4,EProp,1.6732347171408986,3.1874287045938656
0_5,Oja,2.2794731236005457,2.4236576073218385
0_5,RewardHebb,1.5043784682429269,2.9233335499676314
0_5,REINFORCE,3.03377200368245,2.3096843565325997
0_5,EProp,1.4797606433111867,2.8265218992718326
0_6,Oja,3.6837168617309617,2.1088457773532343
0_6,RewardHebb,1.479858278680173,2.630622514664225
0_6,REINFORCE,3.6500279512299856,1.9563374130571791
0_6,EProp,1.0679377559870777,2.55597664277546
0_7,Oja,3.3628230858855708,2.4244157772834645
0_7,RewardHebb,1.8851249149026046,2.805104254009498
0_7,REINFORCE,3.153904047301873,2.1638581000987145
0_7,EProp,1.574162163515112,2.6315030561861215
0_8,Oja,4.02283515525062,1.7347057015007004
0_8,RewardHebb,1.7210963169060483,1.996051309956502
0_8,REINFORCE,3.672643977283061,1.338463628473229
0_8,EProp,1.3418290527893615,2.092674089727668
0_9,Oja,2.229301454286889,1.983955036670206
0_9,RewardHebb,1.2534408127600327,2.3292582386780594
0_9,REINFORCE,2.6280947000084716,1.8927378414601659
