Patch_Size,Rule,Policy,WinRate,WinRate_Lo,WinRate_Hi,MedianRank,MedianRank_Lo,MedianRank_Hi,n_valid,n_wins
500,EProp,Policy A (Worst-Case),1.0,1.0,1.0,1.0,1.0,1.0,,
500,RewardHebb,Policy A (Worst-Case),0.0,0.0,0.0,2.0,2.0,2.0,,
500,REINFORCE,Policy A (Worst-Case),0.0,0.0,0.0,3.0,3.0,3.0,,
1000,EProp,Policy A (Worst-Case),0.8,0.5,1.0,1.0,1.0,1.5,,
1000,RewardHebb,Policy A (Worst-Case),0.2,0.0,0.5,2.0,1.5,2.0,,
1000,REINFORCE,Policy A (Worst-Case),0.0,0.0,0.0,3.0,3.0,3.0,,
2000,EProp,Policy A (Worst-Case),0.7,0.0,1.0,1.0,1.0,2.0,,
2000,RewardHebb,Policy A (Worst-Case),0.3,0.0,1.0,2.0,1.0,2.0,,
2000,REINFORCE,Policy A (Worst-Case),0.0,0.0,0.0,3.0,2.5,3.0,,
500,EProp,Policy B (Exclude),1.0,1.0,1.0,1.0,1.0,1.0,,
500,RewardHebb,Policy B (Exclude),0.0,0.0,0.0,2.0,2.0,2.0,,
500,REINFORCE,Policy B (Exclude),0.0,0.0,0.0,3.0,3.0,3.0,,
1000,EProp,Policy B (Exclude),0.8,0.5,1.0,1.0,1.0,1.5,,
1000,RewardHebb,Policy B (Exclude),0.2,0.0,0.5,2.0,1.5,2.0,,
1000,REINFORCE,Policy B (Exclude),0.0,0.0,0.0,3.0,3.0,3.0,,
2000,EProp,Policy B (Exclude),0.875,0.47349032912479344,0.9968402764687481,1.0,1.0,1.0,8.0,7.0
2000,RewardHebb,Policy B (Exclude),0.3,0.06673951117773447,0.6524528500599972,2.0,1.0,2.0,10.0,3.0
2000,REINFORCE,Policy B (Exclude),0.0,0.0,0.3084971078187608,3.0,2.5,3.0,10.0,0.0
500,EProp,Policy C (Impute-Max),1.0,1.0,1.0,1.0,1.0,1.0,,
500,RewardHebb,Policy C (Impute-Max),0.0,0.0,0.0,2.0,2.0,2.0,,
500,REINFORCE,Policy C (Impute-Max),0.0,0.0,0.0,3.0,3.0,3.0,,
1000,EProp,Policy C (Impute-Max),0.8,0.5,1.0,1.0,1.0,1.5,,
1000,RewardHebb,Policy C (Impute-Max),0.2,0.0,0.5,2.0,1.5,2.0,,
1000,REINFORCE,Policy C (Impute-Max),0.0,0.0,0.0,3.0,3.0,3.0,,
2000,EProp,Policy C (Impute-Max),0.7,0.0,1.0,1.0,1.0,2.0,,
2000,RewardHebb,Policy C (Impute-Max),0.3,0.0,1.0,2.0,1.0,2.0,,
2000,REINFORCE,Policy C (Impute-Max),0.0,0.0,0.0,3.0,2.5,3.0,,
