rule,seed,epoch,J,MI_lb,E_total,compute_cost
Oja,0,0,-104.25147220315304,0.0,10425.147220315304,1
Oja,0,1,-104.32759166614353,0.0,10432.759166614353,2
Oja,0,2,-104.24652648205048,0.0,10424.652648205049,3
Oja,0,3,-104.28238638700604,0.0,10428.238638700604,4
Oja,0,4,-104.21289914121508,0.0,10421.289914121508,5
Oja,0,5,-104.26034853645386,0.0,10426.034853645386,6
Oja,0,6,-104.19972006444463,0.0,10419.972006444463,7
Oja,0,7,-104.27991453378073,0.0,10427.991453378072,8
Oja,0,8,-104.23632318811829,0.0,10423.63231881183,9
Oja,0,9,-104.26568312173696,0.0,10426.568312173695,10
Oja,0,10,-104.24440626907828,0.0,10424.440626907828,11
Oja,0,11,-104.26436246610001,0.0,10426.436246610001,12
Oja,0,12,-104.26740833341118,0.0,10426.740833341119,13
Oja,0,13,-104.35315747545305,0.0,10435.315747545304,14
Oja,0,14,-104.21853049349335,0.0,10421.853049349334,15
Oja,0,15,-104.37543637756062,0.0,10437.543637756062,16
Oja,0,16,-104.27550456750079,0.0,10427.55045675008,17
Oja,0,17,-104.24380040030617,0.0,10424.380040030617,18
Oja,0,18,-104.29234358982187,0.0,10429.234358982187,19
Oja,0,19,-104.33565005930232,0.0,10433.565005930232,20
Oja,0,20,-104.51693693481036,0.0,10451.693693481036,21
Oja,0,21,-104.36650896923427,0.0,10436.650896923427,22
Oja,0,22,-104.30287066369783,0.0,10430.287066369783,23
Oja,0,23,-104.32995675468396,0.0,10432.995675468395,24
Oja,0,24,-104.33847580680904,0.0,10433.847580680904,25
Oja,0,25,-104.4018791695001,0.0,10440.18791695001,26
Oja,0,26,-104.4552837488056,0.0,10445.52837488056,27
Oja,0,27,-104.44092869408371,0.0,10444.09286940837,28
Oja,0,28,-104.42065043080348,0.0,10442.065043080347,29
Oja,0,29,-104.45421227561077,0.0,10445.421227561077,30
Oja,0,30,-104.44187138951918,0.0,10444.187138951918,31
Oja,0,31,-104.43605721354878,0.0,10443.605721354877,32
Oja,0,32,-104.56877585656876,0.0,10456.877585656875,33
Oja,0,33,-104.51299082125192,0.0,10451.299082125191,34
Oja,0,34,-104.56634115508386,0.0,10456.634115508386,35
Oja,0,35,-104.48097281449586,0.0,10448.097281449585,36
Oja,0,36,-104.4722908265052,0.0,10447.22908265052,37
Oja,0,37,-103.94406309516276,0.5440830629260578,10448.814615808882,38
Oja,0,38,-104.07175735613403,0.47884616812094993,10455.060352425498,39
Oja,0,39,-104.32086037697186,0.23392825934426176,10455.478863631613,40
Oja,0,40,-104.49876597148977,0.06431540439239836,10456.308137588218,41
Oja,0,41,-104.15866309444102,0.4454248017195761,10460.40878961606,42
Oja,0,42,-104.39089797012795,0.17020689376514753,10456.110486389309,43
Oja,0,43,-104.0685873674387,0.47472982656140905,10454.33171940001,44
Oja,0,44,-104.6376326547546,0.0,10463.76326547546,45
Oja,0,45,-104.67479212444577,0.0,10467.479212444578,46
Oja,0,46,-104.55761881368704,0.0,10455.761881368704,47
Oja,0,47,-104.68440387736871,0.0,10468.440387736871,48
Oja,0,48,-104.60071607099242,0.0,10460.071607099242,49
Oja,0,49,-104.65032191146109,0.0,10465.032191146109,50
Oja,0,50,-104.66645778644072,0.0,10466.645778644071,51
Oja,0,51,-104.69101039894457,0.0,10469.101039894456,52
Oja,0,52,-104.57958453366855,0.0,10457.958453366855,53
Oja,0,53,-104.63753012130721,0.0,10463.75301213072,54
Oja,0,54,-104.7178011255971,0.0,10471.78011255971,55
Oja,0,55,-104.70372298391696,0.0,10470.372298391696,56
Oja,0,56,-104.69475018078532,0.0,10469.475018078532,57
Oja,0,57,-104.12270332115021,0.584325792124412,10470.702911327462,58
Oja,0,58,-104.2766486163908,0.5190268931403379,10479.567550953114,59
Oja,0,59,-104.76460735479519,0.05457651953388032,10481.918387432906,60
Oja,0,60,-104.73179376702106,0.0,10473.179376702106,61
Oja,0,61,-104.7218403260132,0.0,10472.184032601319,62
Oja,0,62,-104.80291497887146,0.0,10480.291497887145,63
Oja,0,63,-103.68600122970966,1.055399271894581,10474.140050160424,64
Oja,0,64,-104.29102530736826,0.5108654656181404,10480.189077298639,65
Oja,0,65,-104.68517208205385,0.14597526563349206,10483.114734768735,66
Oja,0,66,-104.8389851522525,0.0,10483.89851522525,67
Oja,0,67,-104.8314782529182,0.0,10483.14782529182,68
Oja,0,68,-104.69045765166176,0.0663531074458108,10475.681075910756,69
Oja,0,69,-104.83015987113306,0.0,10483.015987113306,70
Oja,0,70,-104.77733294422553,0.0,10477.733294422553,71
Oja,0,71,-104.85736044608126,0.0,10485.736044608126,72
Oja,0,72,-104.82481945018792,0.0,10482.481945018792,73
Oja,0,73,-104.92121074957322,0.0,10492.121074957322,74
