pre_type,post_type,weight_sum
AN09A005,AN09A005,0.09337148519703287
AN09A005,LC11,0.0002367911079587329
AN09A005,LC18,0.02509425955264002
AN09A005,LPLC1,0.00011912642046549555
AN09A005,MeLo1,0.01583265356041281
AN09A005,Mi15,0.07023827612394881
AN09A005,Pm2a,0.08556899287577237
AN09A005,Pm4,0.05968192593140995
AN09A005,T4b,0.05826531947400034
C2,C3,0.18778816675234788
C2,Dm11,0.10081160025313488
C2,Dm9,0.21674949086354162
C2,L1,1.1178783859214254
C2,L2,1.0057236471891515
C2,L3,0.35695012943896637
C2,L4,0.15431210279307916
C2,L5,0.5928632387464429
C2,MeLo1,0.017905826122253634
C2,Mi1,0.44644941324415977
C2,Mi15,0.27679984435165217
C2,Pm3,9.26629544699024e-05
C2,R7_unclear,0.09025759191644198
C2,R7p,0.17761662610999748
C2,R7y,0.08782565708055041
C2,R8_unclear,0.09424365023090522
C2,R8p,0.08158967763653684
C2,T1,0.9238149268913337
C2,T2,0.05414393328898967
C2,T4c,0.047531093133303434
C2,Tm1,0.4732424052344033
C2,Tm16,7.437631413801e-05
C2,Tm20,0.04450352037848454
C2,Tm37,0.029878795187453133
C2,Tm4,0.0026134769517311327
C2,Tm6,0.00676976059837357
C2,Tm9,0.3730209385523989
C2,TmY14,7.005449314768675e-05
C2,TmY19a,8.176403423526536e-05
C2,Y3,0.0013073876832629232
C3,C2,0.05818918572603438
C3,Dm3a,0.2990509766835724
C3,Dm3b,0.29499082317039105
C3,Dm6,0.0005125628446915434
C3,Dm8a,0.06483749298974353
C3,Dm8b,0.06072716153537181
C3,Dm9,0.18446141997959015
C3,L1,1.3657223062181456
C3,L2,1.9783179957609638
C3,L3,0.08377747749198801
C3,L5,0.7919600740236857
C3,Lawf2,0.037866050449445035
C3,MeLo1,0.03247859542373382
C3,MeLo2,0.0012330329257272
C3,MeLo9,0.0017905072955715327
C3,Mi1,0.4875444158683953
C3,Mi15,0.06670020278236528
C3,Mi4,0.13821518672377955
C3,Mi9,1.703323739305432
C3,Pm10,0.05777657355085703
C3,Pm2a,0.009332908836333559
C3,Pm2b,0.00013740277560158522
C3,Pm3,0.0013106960904591294
C3,Pm4,0.0003967024208795078
C3,R7_unclear,0.08985421117331209
C3,T1,2.1044485591876003
C3,T2,0.4130019506787178
C3,T2a,0.08514067441162737
C3,T4a,1.3780680609921523
C3,T4b,1.21983854231006
C3,T4c,0.7126513670757413
C3,T4d,0.8902503999963748
C3,Tm1,0.9134371095280065
C3,Tm16,0.024101153831500507
C3,Tm2,0.21621080095862905
C3,Tm20,0.5485800628915455
C3,Tm3,0.10097943549013516
C3,Tm39,0.005650932515072004
C3,Tm4,0.8132664018865343
C3,Tm5Y,0.017761779822307117
C3,Tm5c,0.050421215650366974
C3,Tm6,0.4695481952513444
C3,Tm9,1.1785944098125771
C3,TmY14,0.0003981285336767202
C3,TmY18,0.07407810714727042
C3,TmY19a,8.099808797959789e-05
C3,TmY3,0.008808888183031025
C3,TmY4,0.0001770767175234664
C3,Y13,0.0004906918500723794
C3,Y3,0.0001971897859649335
Cm1,Cm1,0.14075944071644692
Cm1,Cm11a,0.02488282837736513
Cm1,Cm17,0.0010148904608960575
Cm1,Cm2,0.09453319822005396
Cm1,Cm3,0.33431028713256555
Cm1,Cm5,0.01963305132813106
Cm1,Cm9,0.010930397021951106
Cm1,Dm11,0.0655038297790872
Cm1,Dm8a,0.24990518571331735
Cm1,MeLo1,0.03855523806878434
Cm1,MeTu4a,0.10132863783137488
Cm1,MeVP35,0.03458300048655108
Cm1,MeVP56,0.04576931435363601
Cm1,MeVP6,0.019082045689746092
Cm1,MeVPLo2,0.04950806611138686
Cm1,MeVPMe5,0.004060871554411299
Cm1,Mi16,0.0006020251184990953
Cm1,Tm30,0.024631608516357775
Cm1,Tm33,0.07053905104697784
Cm1,Tm37,0.02791064264808476
Cm1,Tm38,0.013649339199767557
Cm1,Tm40,0.01871786011426744
Cm1,Tm5Y,0.11618628298464129
Cm1,Tm5c,0.043248773537963955
Cm1,TmY18,0.06368916791552362
Cm1,TmY5a,0.020503799580753528
Cm1,TmY9b,0.0509853703618479
Cm10,Cm16,0.0394927912810799
Cm10,Cm17,0.0001705353391858435
Cm10,Cm4,0.1246175410073633
Cm10,Cm5,0.08488735692938054
Cm10,Cm6,0.05271497337144645
Cm10,Cm8,0.03660682015521452
Cm10,MeLo2,7.962204052087817e-05
Cm10,MeTu3c,0.07231203656331961
Cm10,MeTu4c,0.05716226990328833
Cm10,MeVPMe4,0.05458304858325562
Cm10,MeVPMe5,0.0019449999409454821
Cm10,Tm16,0.05694938490591517
Cm10,Tm36,0.02563462640024116
Cm10,Tm37,0.021113861122832468
Cm10,Tm39,0.011438915511302963
Cm10,TmY10,0.0011205275420086223
Cm10,TmY18,0.020785831171518908
Cm10,TmY19a,9.539109042692786e-05
Cm10,TmY4,0.029934920793244432
Cm11a,Cm3,0.03856143730233363
Cm11a,Cm5,0.08259332449302284
Cm11a,Cm6,0.01835010446889244
Cm11a,Cm9,0.000924884988574866
Cm11a,Dm11,0.07998800422632336
Cm11a,Dm2,0.016522151235323048
Cm11a,Dm4,0.09154233494778158
Cm11a,Dm8a,0.5427589151393909
Cm11a,Dm8b,0.317790775894783
Cm11a,Dm9,0.030921822774819266
Cm11a,MeVP9,0.00018901353716478498
Cm11a,MeVPLo2,0.014117925477374225
Cm11a,Mi4,0.024121891647342984
Cm11a,Tm29,0.0115808014620843
Cm11a,Tm37,0.054870770924304306
Cm11a,Tm39,0.0007524357093397141
Cm11a,Tm5b,0.002521322676667863
Cm11a,TmY18,0.0017153493350011756
Cm11a,TmY5a,8.350480549863473e-05
Cm11b,Dm11,0.046466884504074615
Cm11b,Dm8a,0.626908030731554
Cm11b,Dm8b,0.3292174726218747
Cm11b,Dm9,0.01492830757940877
Cm11b,MeTu3c,0.05051050869120139
Cm11b,MeVPLo2,0.03642259003162594
Cm11b,Tm5a,0.041977453970252356
Cm11b,Tm5b,0.10478965150106367
Cm12,Cm4,0.04255936396058902
Cm12,Cm6,0.0487015564202081
Cm12,Cm9,0.09678910262575888
Cm12,MeTu1,0.5990919870921407
Cm12,MeTu3c,0.2927555340810204
Cm12,MeTu4b,0.07809381047046092
Cm12,MeVP35,0.038261612214951946
Cm12,MeVP56,0.03371463006510888
Cm12,MeVP6,0.03303953345230217
Cm12,MeVPMe4,0.062441919156985055
Cm12,MeVPMe5,0.014665314929704135
Cm13,Cm6,0.0011589213671322877
Cm13,MeLo7,0.08042656436288993
Cm13,MeVP1,0.05295801111107866
Cm13,MeVP3,0.0003876838712313881
Cm13,Mi10,0.03419348713282923
Cm13,Mi2,0.07411532473163107
Cm13,Mi9,0.028722733377350988
Cm13,Pm2a,0.0018902492869539108
Cm13,Pm4,0.032476332393573774
Cm13,T2a,0.004025655472065626
Cm13,Tm12,0.029577517794903856
Cm13,Tm20,0.44626140192689534
Cm13,Tm31,0.041419572080563
Cm13,Tm35,0.1524707981276957
Cm13,Tm5Y,0.058205066570046204
Cm13,TmY21,0.04148162841795278
Cm14,Cm3,0.06184979309867505
Cm14,Cm6,0.10101339829268428
Cm14,MeTu1,0.11159131476593749
Cm14,MeTu3b,0.028756619066250648
Cm14,MeTu3c,0.10382608576887814
Cm14,MeVPMe5,0.0014003317591343876
Cm16,Cm10,0.08675438913747244
Cm16,Cm3,0.07511125504941125
Cm16,Cm9,0.03326049027691558
Cm16,MeLo6,0.09006394148430827
Cm16,MeTu4a,0.04953211247167311
Cm16,MeTu4b,0.08390502907590068
Cm16,MeTu4e,0.16747689694506135
Cm16,MeVC5,0.09337768587332047
Cm16,MeVC_unclear,0.07729881195835793
Cm16,MeVP35,0.03890224608078596
Cm16,MeVP6,0.03693740047931494
Cm16,MeVPMe4,0.06586893083981686
Cm16,MeVPMe5,0.03515157701043829
Cm16,Tm1,0.07363533450520371
Cm16,Tm31,0.07485011588909882
Cm16,Tm5c,0.06485154147867028
Cm16,TmY17,0.015937312817750824
Cm17,Cm1,0.1252760113481975
Cm17,Cm13,0.015255301991620965
Cm17,Cm2,0.0675877056269111
Cm17,Cm6,0.030221103358886975
Cm17,Dm2,0.017503473486756183
Cm17,Dm8a,0.045026135260260655
Cm17,Dm9,0.029966396542694132
