pre_type,post_type,weight_sum
C2,C3,0.19998828047801315
C2,Dm11,0.09988488485762105
C2,Dm9,0.19987263784248455
C2,L1,0.9001255929767631
C2,L2,0.8002316610969832
C2,L4,0.300195291890289
C2,L5,0.599944037761666
C2,MeLo2,0.09992422937369295
C2,Mi1,0.5999820204883162
C2,Mi14,0.29998101176036407
C2,Mi2,0.09993891963505627
C2,Mi4,0.39987059365743494
C2,Mi9,0.1999943643273406
C2,Pm5,0.0999688674640086
C2,R7y,0.10002085214495257
C2,R8y,0.09998616888213684
C2,T1,0.8001621032384872
C2,T2,0.39987312454525786
C2,Tm1,0.7003350874698094
C2,Tm16,0.10003239144979469
C2,Tm20,0.2998728057974568
C2,Tm3,0.10000293476250384
C2,Tm5c,0.20001101870354912
C2,Tm6,0.1999800396397987
C2,Tm9,0.6999020559193999
C2,TmY3,0.10004678327545828
C3,C2,0.3999355656378191
C3,C3,0.1998990314175342
C3,Cm13,0.09983882976383188
C3,Dm3a,0.2998183805692385
C3,Dm3b,0.9998956853514056
C3,Dm4,0.09998355869859517
C3,Dm9,0.49982395365593246
C3,L1,1.80012903799777
C3,L2,2.899686667184304
C3,L3,0.10005232792261468
C3,L4,0.30005692253265526
C3,L5,1.6995814298770928
C3,MeLo2,3.0996427984609434
C3,Mi1,1.4995487677688804
C3,Mi10,0.10004514126536346
C3,Mi14,0.40004957536361924
C3,Mi4,0.2996977556436775
C3,Mi9,3.9997063308128156
C3,Pm10,2.199794466304848
C3,Pm2a,0.09999847939419818
C3,Pm2b,0.09996805629185365
C3,Pm3,0.1000299256184629
C3,Pm5,0.20008989502355612
C3,T1,2.3002292865581837
C3,T2,2.6996131937253804
C3,T2a,0.20008293724730442
C3,T3,0.09992311161784172
C3,T4a,2.700055041156748
C3,T4b,3.799576714870801
C3,T4c,3.599825732851512
C3,T4d,3.299472577977221
C3,Tm1,2.2001059083682786
C3,Tm16,1.0998700429036452
C3,Tm2,1.0000945810674555
C3,Tm20,1.300000501947085
C3,Tm26,0.10000935995654413
C3,Tm3,0.6000829774879498
C3,Tm4,7.400329091189164
C3,Tm5c,0.7996787014507355
C3,Tm6,2.399998416854821
C3,Tm9,1.8999013806131642
C3,TmY14,0.30001818075230663
C3,TmY3,0.30008740928210087
