pre_type,post_type,weight_sum
AOTU045,MeLo13,0.0990530459500295
C2,C3,0.10242209405255268
C2,Dm11,0.1028133556701241
C2,Dm14,0.10441282864542294
C2,Dm20,0.10338223365798056
C2,Dm9,0.20781812571187766
C2,L1,0.20200548853555259
C2,L2,0.30373353035244166
C2,L3,0.1007409930959711
C2,L5,0.306015051229962
C2,Mi1,0.20970315788999883
C2,Mi15,0.20542508713533172
C2,Mi4,0.31680465839069255
C2,Mi9,0.10608084805957309
C2,T1,0.20284849270004796
C2,T2,0.10556064958102258
C2,Tm1,0.20902204810094194
C2,Tm16,0.1023772054152345
C2,Tm3,0.10366761891500012
C2,Tm37,0.10554177446047176
C2,Tm6,0.10530183745470435
C2,Tm9,0.41445629691631913
C2,TmY5a,0.0997841800789267
C3,C2,0.10345213934738556
C3,C3,0.10371509975395102
C3,Dm11,0.10275473838645265
C3,Dm14,0.10276054513920602
C3,Dm15,0.3106242961638088
C3,Dm20,0.10544014700491315
C3,Dm3a,0.1054563046916416
C3,Dm3b,0.4175160078713931
C3,Dm3c,0.10372363952440866
C3,Dm4,0.2056110502283242
C3,Dm6,0.31140851695516386
C3,Dm9,0.5182267144646291
C3,L1,1.0104358049515028
C3,L2,2.025722773922799
C3,L4,0.10120793655026977
C3,L5,1.0200192894906503
C3,Lawf1,0.10409833462950233
C3,MeLo1,0.10289738836754156
C3,MeLo9,0.6184735287926982
C3,Mi1,1.0337637931880044
C3,Mi4,0.41679532964819277
C3,Mi9,2.914240447152014
C3,Pm10,1.5004777976660792
C3,Pm2a,0.10537806453894531
C3,Pm2b,0.106094823719951
C3,Pm4,0.20669039822525453
C3,T1,1.722953998902046
C3,T2,2.090563914983492
C3,T4a,2.4942347350617653
C3,T4b,1.7727959962273396
C3,T4c,2.386495079905705
C3,T4d,3.2061666971477676
C3,Tm1,2.276036160247168
C3,Tm16,1.0173851148622757
C3,Tm2,0.8252283602834545
C3,Tm20,1.0435004419645002
C3,Tm3,0.1019074611133247
C3,Tm4,3.8719245259262807
C3,Tm6,1.7756709893478997
C3,Tm9,1.6370544317821936
C3,TmY14,0.40952482942436963
C3,TmY5a,0.10454813450359927
C3,Y3,0.20535292796142232
Cm1,Cm1,0.20928669007230621
Cm1,Cm11a,0.3144617791238339
Cm1,Cm11b,0.10411643054431996
Cm1,Cm19,0.19953748694089435
Cm1,Cm2,0.2063939164624301
Cm1,Cm3,0.5206310153054333
Cm1,Cm5,0.10616826263315783
Cm1,Cm8,0.3130465147455972
Cm1,Dm11,0.10216022702393619
Cm1,Dm2,0.10389449789183137
Cm1,Dm8a,0.7205968905246576
Cm1,Dm8b,0.10260641300052989
Cm1,ME_LOP_unclear,0.3139370931407629
Cm1,MeTu3b,0.10528306082667106
Cm1,MeTu4a,0.5252547189973231
Cm1,MeVP1,0.10359084725098815
Cm1,MeVP6,0.8326597821556542
Cm1,Mi16,0.41800061153639106
Cm1,Mi17,0.10547388939803105
Cm1,Mi4,0.10541801598387704
Cm1,Tm1,0.10247856165402947
Cm1,Tm29,0.20878016431940982
Cm1,Tm30,0.41410525406981363
Cm1,Tm33,0.8357252471864287
Cm1,Tm37,0.10409940725677215
Cm1,Tm39,0.10417983814462961
Cm1,Tm40,0.21100384172543984
Cm1,Tm5Y,0.10453966811455494
Cm1,Tm5a,0.10636856779154345
Cm1,TmY17,0.10491200847642118
Cm1,TmY21,0.6318713417916926
Cm10,Cm11a,0.10522467598447634
Cm10,Cm19,0.5080783451830443
Cm10,Cm4,0.10258418129263289
Cm10,Cm5,0.2112158969486017
Cm10,Cm6,0.20716906969345433
Cm10,Cm8,0.7222312615174249
Cm10,Dm20,0.41241589089375846
Cm10,Dm8b,0.10396886828536014
Cm10,MeTu3b,0.10417863873457336
Cm10,MeTu3c,0.2087903292093801
Cm10,MeTu4a,0.10593111456233432
Cm10,Tm1,0.10372300335252625
Cm10,Tm16,0.5114924660170375
Cm10,Tm36,0.3147463663386508
Cm10,Tm37,0.20825709407154688
Cm10,Tm39,0.314503618339753
Cm10,TmY4,0.19136291375648262
Cm10,TmY5a,0.10194724235594316
Cm11a,C3,0.10080410201535582
Cm11a,Cm1,0.31050363228849753
Cm11a,Cm11b,0.10533427115084598
Cm11a,Cm19,0.3066336850325706
Cm11a,Cm9,0.10369291303689389
Cm11a,Dm11,0.9164972777652381
Cm11a,Dm4,0.4150781634908804
Cm11a,Dm8a,3.2928100477850326
Cm11a,Dm8b,2.364130465734939
Cm11a,Dm9,0.6185342716312251
Cm11a,ME_LOP_unclear,0.10455286584733442
Cm11a,MeTu1,0.10474125297271135
Cm11a,MeTu3b,0.10361018764114029
Cm11a,MeTu4a,0.10564216317845235
Cm11a,MeVP6,0.3078269531618545
Cm11a,Mi1,0.10493871435456345
Cm11a,Mi18,0.2894373139187852
Cm11a,Mi4,1.674953260511741
Cm11a,Tm12,0.10619007984711604
Cm11a,Tm30,0.10331004621671103
Cm11a,Tm33,0.7284146722321704
Cm11a,Tm37,1.0394218958734418
Cm11a,Tm39,0.3132627287638446
Cm11a,Tm40,0.10356279714812187
Cm11a,Tm5a,0.7240431754632858
Cm11a,Tm5b,0.6259959818526002
Cm11a,TmY18,0.41998541168968484
Cm11b,Cm11a,0.21125005152452353
Cm11b,Cm7,0.10355732904992429
Cm11b,Dm11,0.30610676655362073
Cm11b,Dm8a,1.1361565295058464
Cm11b,Dm8b,0.8277817791392381
Cm11b,Mi1,0.10501844298130927
Cm11b,Mi18,0.09762638766088536
Cm11b,Tm5a,0.6224228474661904
Cm11b,Tm5b,0.31165772545439796
Cm12,Cm10,0.10123838829696535
Cm12,Cm4,0.10357225140858653
Cm12,Cm5,0.1033157841042229
Cm12,Cm6,0.10418247464426521
Cm12,MeTu1,0.5178706107741314
Cm12,MeTu3c,0.10272376717832166
Cm12,MeTu4a,0.10418183522087975
Cm12,MeVP1,0.10444719011719641
Cm12,MeVP6,0.4095205487004663
Cm12,MeVPMe5,0.1025070114135416
Cm13,Cm11a,0.1039033904854664
Cm13,Cm19,0.1045859213016886
Cm13,Cm3,0.20586821154109783
Cm13,MeVP1,0.10465596343420581
Cm13,MeVP6,0.10180293839348793
Cm13,Pm4,0.2032232016872032
Cm13,T2a,0.10613936378599576
Cm13,Tm20,1.3505125941071576
Cm13,Tm31,0.1057644161062057
Cm13,Tm33,0.10308384819870631
Cm13,Tm35,0.20644753488157913
Cm13,Tm39,0.10337239699260817
Cm13,TmY10,0.4172258006535735
Cm14,Cm1,0.10406053445906106
Cm14,Cm10,0.5046403449747101
Cm14,Cm14,0.6082095181613304
Cm14,Cm20,0.40753376818882514
Cm14,Cm3,0.3126589879554018
Cm14,Cm4,0.10527554417274594
Cm14,Cm6,1.1613530072033489
Cm14,Cm8,0.10145850043326168
Cm14,Cm9,0.10415374583701845
Cm14,MeTu1,0.6324534717908766
Cm14,MeTu2b,0.10237030277256073
Cm14,MeTu3b,1.1488225395001226
Cm14,MeTu3c,0.7262776184830265
Cm14,MeVP1,0.2067187466544183
Cm14,MeVPMe5,0.10326773725756618
Cm14,Mi15,0.10395570449248726
Cm14,Tm36,0.10541179622528839
Cm14,Tm5Y,0.10338522192818478
Cm14,TmY4,0.19008798998131143
Cm14,TmY5a,0.1033319353259426
Cm16,Cm10,0.10266980811518929
Cm16,Cm3,0.10495303757904982
Cm16,Cm6,0.10546137622533018
Cm16,Cm8,0.10332272485550384
Cm16,MeTu3c,0.10521031399805492
Cm16,MeTu4a,0.1052587417845468
Cm16,MeTu4b,0.10247312683073
Cm16,MeVP55,0.10374802479976877
Cm16,MeVP6,0.3180900479343361
Cm16,MeVPMe5,0.10447931893276313
Cm16,Tm34,0.2103572869774708
Cm19,Cm1,0.3131026060217933
Cm19,Cm13,0.10383227560333153
Cm19,Cm7,0.20783514249749407
Cm19,ME_LOP_unclear,0.10617390824243075
Cm19,MeLo9,0.09086515238235958
Cm19,MeTu4_unclear,0.10662764928053278
Cm19,MeTu4a,0.524843554194556
Cm19,MeVP1,0.10280974073841855
Cm19,MeVP11,0.10096066662762289
Cm19,MeVP6,0.311068384775589
Cm19,Mi18,0.10057414320307054
Cm19,Pm4,0.3101309098083213
Cm19,T2,0.4161350264507553
Cm19,T2a,0.5238614495971721
Cm19,Tm20,1.3372963883021738
Cm19,Tm26,0.10392024573101027
Cm19,Tm29,0.8249210482570524
Cm19,Tm31,0.20579228687621165
Cm19,Tm32,0.2055498800489097
Cm19,Tm33,0.5178084698549406
Cm19,Tm36,0.10540021387075689
Cm19,Tm37,0.10512639003414594
Cm19,Tm39,0.10749340362117496
Cm19,Tm40,0.10641884182295207
Cm19,Tm5Y,0.7276235153792271
Cm19,Tm5a,0.3090394791709806
Cm19,Tm5b,0.4154330220849731
Cm19,Tm5c,0.10296907467002488
Cm19,TmY10,0.2083981520263895
Cm19,TmY21,0.20740049139110067
Cm19,TmY4,0.09757253963420302
Cm19,TmY5a,0.09675384271220157
Cm2,Cm1,0.3122416076979772
Cm2,Cm11a,0.3163257704268643
Cm2,Cm19,0.10045004849902896
Cm2,Cm3,0.20604117480708622
Cm2,Cm8,0.10297966902857497
Cm2,Dm2,0.10264360540990908
Cm2,Dm8a,0.6211823778262893
Cm2,Dm8b,0.30961377787988503
Cm2,MeVP6,0.10369444118628841
Cm2,Mi18,0.09854366740230318
Cm2,Mi4,0.10459290415533598
Cm2,Tm6,0.1048169915269176
Cm2,TmY21,0.2047901712753109
Cm20,Cm8,0.5204447943823266
Cm20,Dm2,0.10349027982638208
Cm20,MeTu1,0.2119183808882622
Cm20,MeTu2b,0.10256106148379601
Cm20,MeTu3b,0.10487700746577736
Cm20,MeTu3c,0.2089166274587138
Cm20,MeTu4a,0.10454476834953327
Cm20,MeVP1,0.10263415856282747
