epoch,J,MI_lb,E_total,E_met,compute_cost,rule,lambda,gamma,seed,energy_ratio
0,-104.25147220315304,0.0,10425.147220315304,1515.6536033255215,1,EProp,0.01,0.1,0,1.0
1,-96.53315457899124,0.0,9653.315457899123,1408.1474657945132,2,EProp,0.01,0.1,0,0.9259644256234458
2,-84.88465560787274,0.0,8488.465560787274,1235.9312594006644,3,EProp,0.01,0.1,0,0.8142298023615386
3,-73.09259234195719,0.0,7309.259234195719,1059.5179983026756,4,EProp,0.01,0.1,0,0.701118083009158
4,-63.36933099948857,0.0,6336.933099948857,919.4082625955916,5,EProp,0.01,0.1,0,0.6078507061847707
5,-56.23582377785237,0.0312873608435375,5626.71111386959,816.021832700759,6,EProp,0.01,0.1,0,0.5397248590317185
6,-51.336924161569385,0.0130982758605546,5135.002243742994,745.617084936182,7,EProp,0.01,0.1,0,0.4925592066207472
7,-47.935423923007455,0.0067725808856291,4794.219650389308,694.241673879957,8,EProp,0.01,0.1,0,0.4598706904634301
8,-45.63600351349517,0.023526731795938,4565.953024529111,661.8592571498798,9,EProp,0.01,0.1,0,0.43797492045306724
9,-44.01318213108364,0.0832234284679787,4409.640555955162,637.9533516422458,10,EProp,0.01,0.1,0,0.4229811304114892
10,-42.96387100453016,0.1044360745053429,4306.83070790355,623.6129091051707,11,EProp,0.01,0.1,0,0.413119413748988
11,-42.35216805498994,0.0308944940686344,4238.306254905857,615.0192156897592,12,EProp,0.01,0.1,0,0.4065464175553073
12,-41.80542431680559,0.0690064387526496,4187.443075555824,606.6386378282556,13,EProp,0.01,0.1,0,0.40166752440635334
13,-41.43537854543159,0.0776778730615466,4151.305641849313,598.583600874103,14,EProp,0.01,0.1,0,0.39820115285851654
14,-41.21767880049549,0.1276830505195234,4134.536185101501,600.2523181511065,15,EProp,0.01,0.1,0,0.39659259459133606
15,-41.08102374627529,0.080769102318666,4116.179284859396,594.493488783176,16,EProp,0.01,0.1,0,0.39483176571725226
16,-40.9662650065559,0.1219233514401154,4108.818835799601,595.9679756126487,17,EProp,0.01,0.1,0,0.3941257374085631
17,-40.87487322471455,0.1594522110197296,4103.432543573428,596.450917786528,18,EProp,0.01,0.1,0,0.393609073987669
18,-40.83335776439857,0.1466603388793741,4098.001810327794,594.6574524895965,19,EProp,0.01,0.1,0,0.3930881476994482
19,-40.81277050680495,0.1274757751758057,4094.0246281980753,593.2059841633948,20,EProp,0.01,0.1,0,0.39270664880589123
20,-40.82055442114314,0.0291076395052791,4084.966206064842,586.049281725508,21,EProp,0.01,0.1,0,0.39183774768230983
21,-40.736566352391286,0.1490128084268573,4088.5579160818143,591.4827938757047,22,EProp,0.01,0.1,0,0.39218227135579553
22,-40.74857539069604,0.1625632699193087,4091.113866061535,594.2169153601151,23,EProp,0.01,0.1,0,0.39242744295152515
23,-40.7230229781272,0.1549893697510374,4087.801234787824,591.2746411536091,24,EProp,0.01,0.1,0,0.39210968904323923
24,-40.79067300627416,0.1294065778680657,4092.007958414223,595.3641765965508,25,EProp,0.01,0.1,0,0.39251320599484657
25,-40.68879756008994,0.1698018246265666,4085.8599384716495,590.2972409427391,26,EProp,0.01,0.1,0,0.391923476198936
26,-40.73773223469414,0.1280088303074862,4086.574106500163,590.1871504022231,27,EProp,0.01,0.1,0,0.3919919805580037
27,-40.6776566273709,0.1987248809626214,4087.638150833353,591.3804843242581,28,EProp,0.01,0.1,0,0.3920940457193586
28,-40.76116803206498,0.1379398000462512,4089.910783211123,592.7066431698511,29,EProp,0.01,0.1,0,0.3923120409504803
29,-40.7596214243889,0.1265395864918619,4088.616101088076,592.0353625585088,30,EProp,0.01,0.1,0,0.39218785257254307
30,-40.713743716125855,0.1584668348953029,4087.2210551021153,591.1727246053009,31,EProp,0.01,0.1,0,0.3920540371015019
31,-40.673758919567696,0.207145316710068,4088.090423627777,591.715020016948,32,EProp,0.01,0.1,0,0.3921374285881916
32,-40.67606297863273,0.1863246036207244,4086.238758225345,588.8695619929057,33,EProp,0.01,0.1,0,0.39195981331204244
33,-40.654585846445336,0.2312307392051349,4088.5816585650473,590.3603325634665,34,EProp,0.01,0.1,0,0.3921845487800593
34,-40.669702353512186,0.2116699682964249,4088.137232180861,588.7759840542229,35,EProp,0.01,0.1,0,0.39214191855385777
35,-40.691545322178605,0.2267082582859814,4091.825358046459,591.703188523056,36,EProp,0.01,0.1,0,0.392495690619389
36,-40.7061028777822,0.2292928985514035,4093.53957763336,593.113129111257,37,EProp,0.01,0.1,0,0.3926601218308313
37,-40.64787761339746,0.2684302054764149,4091.630781887388,591.1834814374133,38,EProp,0.01,0.1,0,0.3924770265031939
38,-40.66000688550262,0.2740974828745042,4093.410436837712,591.9346943312457,39,EProp,0.01,0.1,0,0.39264773439946765
39,-40.73680895043195,0.2065909861620731,4094.3399936594014,592.1495839904071,40,EProp,0.01,0.1,0,0.39273689926227917
40,-40.70729211550897,0.2219511202356967,4092.924323574466,591.420966581893,41,EProp,0.01,0.1,0,0.3926011054883384
41,-40.71807367852772,0.2072318495076288,4092.530552803535,591.1343920448999,42,EProp,0.01,0.1,0,0.39256333424515016
42,-40.64558588805737,0.2865707848202534,4093.2156672877622,592.102284778576,43,EProp,0.01,0.1,0,0.3926290517328507
43,-40.77298924783714,0.1840785360412451,4095.7067783878383,593.5953841859821,44,EProp,0.01,0.1,0,0.3928680038596103
44,-40.62289219226376,0.2770897746247271,4089.998196688849,589.1893690816399,45,EProp,0.01,0.1,0,0.3923204258179434
45,-40.58353791209842,0.3202769646243517,4090.3814876722768,588.1534895305642,46,EProp,0.01,0.1,0,0.39235719181993145
