pre_type,post_type,weight_sum
5-HTPMPV01,AOTU045,0.06107410982203774
5-HTPMPV01,DNp27,0.03580963884680564
5-HTPMPV01,LC22,0.0562510120928598
5-HTPMPV01,LC33,0.13556571701453587
5-HTPMPV01,LOLP1,0.073366634493192
5-HTPMPV01,LPLC4,0.07217406991392669
5-HTPMPV01,LPT54,8.969782637086864e-06
5-HTPMPV01,LT36,0.04547865140890735
5-HTPMPV01,LT39,0.05335426530688687
5-HTPMPV01,LT43,0.06894800024976734
5-HTPMPV01,LT55,0.13481484026939522
5-HTPMPV01,LT63,0.08172166104788722
5-HTPMPV01,LT68,0.06270465987963399
5-HTPMPV01,LT69,0.0633018325528675
5-HTPMPV01,LT77,0.05379139143044226
5-HTPMPV01,LT78,0.05887741394488449
5-HTPMPV01,LT84,0.04175060372107806
5-HTPMPV01,LT85,0.06702801514712273
5-HTPMPV01,LT86,0.04083669448034018
5-HTPMPV01,LT88,0.012374027741607754
5-HTPMPV01,Lat2,0.0613371588815197
5-HTPMPV01,Li12,0.03946858566513759
5-HTPMPV01,Li16,0.035395800866548935
5-HTPMPV01,Li31,0.024007533938802315
5-HTPMPV01,Li32,8.65312183433408e-06
5-HTPMPV01,Li33,0.018099152850204834
5-HTPMPV01,Li38,8.377642419332374e-06
5-HTPMPV01,Li39,7.934351414297613e-06
5-HTPMPV01,LoVC18,0.02944566923862153
5-HTPMPV01,LoVC19,0.11843284832667515
5-HTPMPV01,LoVC20,0.08636212505115334
5-HTPMPV01,LoVC3,0.0777441404806567
5-HTPMPV01,LoVC4,0.07724998983258471
5-HTPMPV01,LoVC5,0.06686465359966794
5-HTPMPV01,LoVC9,0.0792370668252775
5-HTPMPV01,LoVCLo2,0.07286468584931921
5-HTPMPV01,LoVCLo3,0.06686885047884167
5-HTPMPV01,LoVP100,0.03328625373472223
5-HTPMPV01,LoVP103,0.05330192395785814
5-HTPMPV01,LoVP30,0.06860491743372388
5-HTPMPV01,LoVP32,0.05805151552431419
5-HTPMPV01,LoVP42,0.05177577784173467
5-HTPMPV01,LoVP44,0.07278565793829313
5-HTPMPV01,LoVP46,0.05348654030465478
5-HTPMPV01,LoVP47,0.03360799166421666
5-HTPMPV01,LoVP48,0.04894347777653447
5-HTPMPV01,LoVP50,0.022690882756551803
5-HTPMPV01,LoVP53,0.01900320141342381
5-HTPMPV01,LoVP54,0.005882115591285546
5-HTPMPV01,LoVP58,0.07429713640987066
5-HTPMPV01,LoVP60,0.06566392888204375
5-HTPMPV01,LoVP65,0.07029925169843662
5-HTPMPV01,LoVP68,0.0516498564554839
5-HTPMPV01,LoVP69,0.049137052457097666
5-HTPMPV01,LoVP70,0.06292338032039375
5-HTPMPV01,LoVP73,0.055193340779099154
5-HTPMPV01,LoVP74,0.06561454196100246
5-HTPMPV01,LoVP90a,0.04142646613240329
5-HTPMPV01,LoVP92,0.10296917597080234
5-HTPMPV01,LoVP96,0.04601781005940799
5-HTPMPV01,LoVP97,0.06649702867996087
5-HTPMPV01,MeLo14,0.03744690218482194
5-HTPMPV01,MeLo8,0.008878465667783346
5-HTPMPV01,MeVC20,0.034114245771029686
5-HTPMPV01,MeVC21,0.03566762504208039
5-HTPMPV01,MeVC22,0.03487852986626232
5-HTPMPV01,MeVC23,8.33916745874669e-06
5-HTPMPV01,MeVC24,0.0256407734270648
5-HTPMPV01,MeVP62,0.12335767541374412
5-HTPMPV01,OLVC5,0.029471955422994498
5-HTPMPV01,aMe13,0.06778816660919558
5-HTPMPV01,aMe17e,0.025754505732754566
5-HTPMPV01,aMe20,0.03348825589556824
5-HTPMPV01,aMe25,0.044292689519265085
5-HTPMPV01,aMe30,0.03165095804519312
5-HTPMPV01,aMe8,0.11200252074439875
5-HTPMPV01,aMe_TBD1,0.06096508628816172
5-HTPMPV03,5-HTPMPV03,0.02979163044817116
5-HTPMPV03,AOTU045,0.06074908947266911
5-HTPMPV03,Am1,1.7284853483338632e-05
5-HTPMPV03,CT1,0.028139319131367815
5-HTPMPV03,Cm19,0.20300289075210767
5-HTPMPV03,Cm25,0.056087805236344934
5-HTPMPV03,Cm26,0.11900615170384153
5-HTPMPV03,Cm28,0.2149231003576349
5-HTPMPV03,Cm29,0.2803363826704836
5-HTPMPV03,Cm31a,0.16545063598937348
5-HTPMPV03,Cm31b,0.010278425392131809
5-HTPMPV03,Cm32,0.06252282238929556
5-HTPMPV03,Cm33,0.10353256536722744
5-HTPMPV03,Cm34,1.763360966378207e-05
5-HTPMPV03,DCH,0.055383562099408784
5-HTPMPV03,DNp27,0.03566719687432545
5-HTPMPV03,Dm13,0.09100260540112884
5-HTPMPV03,Dm20,0.07349424874211474
5-HTPMPV03,Dm4,0.2912059280436159
5-HTPMPV03,Dm6,0.06507966616231425
5-HTPMPV03,H1,0.05895408932148355
5-HTPMPV03,HSS,0.07268876935215889
5-HTPMPV03,HST,0.07074398485677326
5-HTPMPV03,LC14a-1,0.05054183676666402
5-HTPMPV03,LC14a-2,0.09219154775138745
5-HTPMPV03,LC19,0.2361934763693678
5-HTPMPV03,LC22,0.05595701355856708
5-HTPMPV03,LC23,0.04306585533705585
5-HTPMPV03,LC31b,0.1050756139955495
5-HTPMPV03,LC33,0.3441602661178457
5-HTPMPV03,LC4,0.15437593856830803
5-HTPMPV03,LLPC4,0.2965036464224687
5-HTPMPV03,LOLP1,0.2107457055534082
5-HTPMPV03,LPLC1,0.11664542490544742
5-HTPMPV03,LPLC2,0.47813482221878884
5-HTPMPV03,LPLC4,0.5244293847961818
5-HTPMPV03,LPT114,0.08732372657047607
5-HTPMPV03,LPT21,0.11409037807088057
5-HTPMPV03,LPT22,0.04022473292170002
5-HTPMPV03,LPT23,0.1991396887297744
5-HTPMPV03,LPT30,0.04564944578501823
5-HTPMPV03,LPT31,0.13387650602258194
5-HTPMPV03,LPT51,0.05790383945945944
5-HTPMPV03,LPT52,0.03871942446774303
5-HTPMPV03,LPT54,1.7989210747217173e-05
5-HTPMPV03,LPT57,0.06914671684738007
5-HTPMPV03,LPi12,0.23609522257405313
5-HTPMPV03,LPi21,0.09911714149840106
5-HTPMPV03,LT11,1.7963605184248184e-05
5-HTPMPV03,LT1b,0.0332669673228583
5-HTPMPV03,LT1d,0.011881526875210296
5-HTPMPV03,LT35,0.05036633930048968
5-HTPMPV03,LT36,0.08664474340870215
5-HTPMPV03,LT39,0.11298262386819521
5-HTPMPV03,LT40,0.1021648384627389
5-HTPMPV03,LT41,0.07413328820826252
5-HTPMPV03,LT42,0.13230637977832438
5-HTPMPV03,LT43,0.06924358637517977
5-HTPMPV03,LT46,0.11051071733536104
5-HTPMPV03,LT47,0.06653198914117706
5-HTPMPV03,LT51,0.6763436738008254
5-HTPMPV03,LT52,0.7387130728842645
5-HTPMPV03,LT54,0.06713191793741728
5-HTPMPV03,LT55,0.05557813772521643
5-HTPMPV03,LT58,0.021720356045002137
5-HTPMPV03,LT59,0.1056415420302487
5-HTPMPV03,LT60,0.0766287028606327
5-HTPMPV03,LT62,0.01919075818984497
5-HTPMPV03,LT63,0.16183383494782153
5-HTPMPV03,LT66,1.750011527474531e-05
5-HTPMPV03,LT67,0.10686523180076415
5-HTPMPV03,LT68,0.123201258430689
5-HTPMPV03,LT72,0.06457191811453838
5-HTPMPV03,LT73,0.041542855554828936
5-HTPMPV03,LT74,0.03956507992123084
5-HTPMPV03,LT75,0.11129338182908241
5-HTPMPV03,LT76,0.045901063173291706
5-HTPMPV03,LT77,0.18414854990221244
5-HTPMPV03,LT78,0.3093993773835634
5-HTPMPV03,LT79,0.07354110953170234
5-HTPMPV03,LT82a,0.04000702032512971
5-HTPMPV03,LT82b,0.022281695118767937
5-HTPMPV03,LT83,0.023975664273123715
5-HTPMPV03,LT84,0.035638664715424546
5-HTPMPV03,LT85,0.13875979932888027
5-HTPMPV03,LT86,0.06995871514391316
5-HTPMPV03,LT87,0.012094566073277312
5-HTPMPV03,LT88,0.034880091210740906
5-HTPMPV03,Lat2,0.06273119037471023
5-HTPMPV03,Lat5,0.12365316951537612
5-HTPMPV03,Li12,0.1548851386391915
5-HTPMPV03,Li16,0.135270929684757
5-HTPMPV03,Li17,0.22207132409215286
5-HTPMPV03,Li29,0.022953205581967617
5-HTPMPV03,Li30,0.12945958827641393
5-HTPMPV03,Li31,0.039756945613761446
5-HTPMPV03,Li32,1.7563339822125146e-05
5-HTPMPV03,Li33,0.03256604204265914
5-HTPMPV03,Li36,0.06604292305748222
5-HTPMPV03,Li37,0.040625689911698404
5-HTPMPV03,Li38,1.7309882469363513e-05
5-HTPMPV03,Li39,1.688140519147719e-05
5-HTPMPV03,LoVC1,0.09638221524233315
5-HTPMPV03,LoVC12,0.07765543646278181
5-HTPMPV03,LoVC14,0.042140055300579085
5-HTPMPV03,LoVC15,0.0841191003987719
5-HTPMPV03,LoVC18,0.027069898916603666
5-HTPMPV03,LoVC19,0.22562518772082243
5-HTPMPV03,LoVC22,0.14465285205351738
5-HTPMPV03,LoVC3,0.07767438985533237
5-HTPMPV03,LoVC4,0.07200161462989568
5-HTPMPV03,LoVC5,0.06747241500213577
5-HTPMPV03,LoVCLo1,0.07813946391344782
5-HTPMPV03,LoVCLo2,0.26190601897932775
5-HTPMPV03,LoVCLo3,0.09931497842249502
5-HTPMPV03,LoVP100,0.06882498782865618
5-HTPMPV03,LoVP101,0.03301318539189902
5-HTPMPV03,LoVP103,0.09579430950294887
5-HTPMPV03,LoVP106,0.1106185013353796
5-HTPMPV03,LoVP107,0.10073827747535033
5-HTPMPV03,LoVP18,0.12713173027003424
5-HTPMPV03,LoVP31,0.08231573956324158
5-HTPMPV03,LoVP32,0.058441514374070545
5-HTPMPV03,LoVP34,0.07829732001473383
5-HTPMPV03,LoVP35,0.07904246456532499
5-HTPMPV03,LoVP39,0.2224481747498801
5-HTPMPV03,LoVP40,0.07309324959728244
5-HTPMPV03,LoVP42,0.05219041801316286
5-HTPMPV03,LoVP44,0.0726883130040979
5-HTPMPV03,LoVP45,0.0753639119868257
5-HTPMPV03,LoVP46,0.11213900382520864
5-HTPMPV03,LoVP47,0.022265915924405053
5-HTPMPV03,LoVP48,0.09684658288862119
5-HTPMPV03,LoVP49,0.043280647007394056
5-HTPMPV03,LoVP50,0.20022126713883384
5-HTPMPV03,LoVP53,0.014611241542669613
5-HTPMPV03,LoVP59,0.03218403169594068
5-HTPMPV03,LoVP63,0.05937043708078916
5-HTPMPV03,LoVP68,0.09243253056652481
5-HTPMPV03,LoVP69,0.08388709959012478
5-HTPMPV03,LoVP73,0.10664685531405124
5-HTPMPV03,LoVP85,0.038965457484325935
5-HTPMPV03,LoVP90a,0.0712276010795153
5-HTPMPV03,LoVP90b,0.11441162262303461
5-HTPMPV03,LoVP90c,0.08271084326130046
5-HTPMPV03,LoVP92,0.3710127740511749
5-HTPMPV03,LoVP96,0.09219052757425195
5-HTPMPV03,LoVP97,0.1384314889405767
5-HTPMPV03,LoVP99,0.11412479165329271
5-HTPMPV03,MeLo1,0.06994137194880273
5-HTPMPV03,MeLo10,0.1806093516233628
5-HTPMPV03,MeLo11,0.09133805610555717
5-HTPMPV03,MeLo14,0.20032094116337926
5-HTPMPV03,MeLo8,0.14386148573431723
5-HTPMPV03,MeLo9,0.2431647245590435
5-HTPMPV03,MeVC1,0.017944093695530527
5-HTPMPV03,MeVC10,0.07862178851966718
5-HTPMPV03,MeVC2,0.14210937678396326
5-HTPMPV03,MeVC20,0.026807277714626206
5-HTPMPV03,MeVC21,0.12425972773079721
5-HTPMPV03,MeVC22,0.0854892077125316
5-HTPMPV03,MeVC23,8.298458960436693e-06
5-HTPMPV03,MeVC24,0.026468533991169645
5-HTPMPV03,MeVC25,0.009466243667777088
5-HTPMPV03,MeVC27,0.06680171799304237
5-HTPMPV03,MeVC3,0.1279954833930054
5-HTPMPV03,MeVC4a,0.12774459166254754
5-HTPMPV03,MeVC4b,0.10935175296939542
5-HTPMPV03,MeVC5,0.08603307753049183
5-HTPMPV03,MeVC6,0.0874261859511886
5-HTPMPV03,MeVC7a,0.1586614061939463
5-HTPMPV03,MeVC8,0.08479648806814025
5-HTPMPV03,MeVP17,0.25500826797244036
5-HTPMPV03,MeVP18,0.21235833349648492
5-HTPMPV03,MeVP21,0.2606501318759241
5-HTPMPV03,MeVP23,0.05215572633927355
5-HTPMPV03,MeVP24,0.037896179241437254
5-HTPMPV03,MeVP25,0.060327367674045486
5-HTPMPV03,MeVP28,0.03940920187547233
5-HTPMPV03,MeVP29,0.03472446627863217
5-HTPMPV03,MeVP32,0.13926382858326541
5-HTPMPV03,MeVP34,0.1650610350603401
5-HTPMPV03,MeVP36,0.05775539602933568
5-HTPMPV03,MeVP38,0.12846283854307639
5-HTPMPV03,MeVP41,0.11869202181502414
5-HTPMPV03,MeVP43,0.10134088873085546
5-HTPMPV03,MeVP45,0.058242191060338594
5-HTPMPV03,MeVP46,0.1704799619712341
5-HTPMPV03,MeVP47,0.05826921675360035
5-HTPMPV03,MeVP49,0.11556043900753092
5-HTPMPV03,MeVP50,0.05831870170055057
5-HTPMPV03,MeVP51,1.0614666556166425e-05
5-HTPMPV03,MeVP52,0.049698598796161106
5-HTPMPV03,MeVP53,0.0670268036136178
5-HTPMPV03,MeVP57,0.12866816660257718
5-HTPMPV03,MeVP59,0.05313397530094743
5-HTPMPV03,MeVP61,0.0797984959210758
5-HTPMPV03,MeVP62,0.32383906498381776
5-HTPMPV03,MeVP8,0.2094945019477679
5-HTPMPV03,MeVP9,0.18135710032437174
5-HTPMPV03,MeVPLo1,0.05908262412366563
5-HTPMPV03,MeVPLo2,0.07713305077356221
5-HTPMPV03,MeVPLp1,0.048596143477247944
5-HTPMPV03,MeVPLp2,0.036531910928886656
5-HTPMPV03,MeVPMe1,0.48948306614572146
5-HTPMPV03,MeVPMe12,0.062241562766172404
5-HTPMPV03,MeVPMe13,0.05898090815234625
5-HTPMPV03,MeVPMe2,0.4133187496947483
5-HTPMPV03,MeVPMe3,0.062129625450535075
5-HTPMPV03,MeVPMe4,0.05414557703115399
5-HTPMPV03,MeVPMe5,0.5944678883933856
5-HTPMPV03,MeVPMe6,0.08701436840717705
5-HTPMPV03,MeVPMe7,0.1453086296227626
5-HTPMPV03,MeVPMe8,0.21138732956426512
5-HTPMPV03,MeVPMe9,0.057636137373042275
5-HTPMPV03,MeVPOL1,0.07881089228041671
5-HTPMPV03,MeVPaMe1,0.07874455917217922
5-HTPMPV03,Mi18,1.5563998044977985
5-HTPMPV03,Mi19,0.06741032366424002
5-HTPMPV03,Nod1,0.07083464776443338
5-HTPMPV03,Nod2,0.06941095558158722
5-HTPMPV03,OA-AL2i1,1.736940938669939e-05
5-HTPMPV03,OA-AL2i4,0.07039542274947384
5-HTPMPV03,OA-ASM1,0.14212966080834882
5-HTPMPV03,OLVC2,0.08358281846897465
5-HTPMPV03,OLVC5,0.055567121425684485
5-HTPMPV03,Pm11,0.028986222078576707
5-HTPMPV03,Pm12,3.453202688320523e-05
5-HTPMPV03,Pm13,1.6913870796250753e-05
5-HTPMPV03,Pm2a,0.14305752155287657
5-HTPMPV03,Pm2b,0.22969795199821613
5-HTPMPV03,Pm3,0.03933038839713645
5-HTPMPV03,Pm4,0.0572460791722108
5-HTPMPV03,Pm8,0.40968405467612234
5-HTPMPV03,Pm9,0.9934007443041422
5-HTPMPV03,SLP250,0.03589711930351244
5-HTPMPV03,Tm5a,0.08178727405664867
5-HTPMPV03,TmY14,0.10989678916446874
5-HTPMPV03,TmY15,0.04458543359345615
5-HTPMPV03,TmY19a,0.246562035438702
5-HTPMPV03,TmY19b,0.16831259775866653
5-HTPMPV03,V1,0.08730463453449006
5-HTPMPV03,VCH,0.11916655688986486
5-HTPMPV03,VS,0.06759614311762238
5-HTPMPV03,aMe12,0.04678498357204467
5-HTPMPV03,aMe17b,0.20253625066564496
5-HTPMPV03,aMe17c,0.18132744192217232
5-HTPMPV03,aMe20,0.03629724549986566
5-HTPMPV03,aMe25,0.045227873594319096
5-HTPMPV03,aMe26,0.06732150497451893
5-HTPMPV03,aMe30,0.03954108554883124
5-HTPMPV03,aMe5,0.07283086639269132
5-HTPMPV03,aMe9,0.14270353330121174
5-HTPMPV03,vCal2,0.06963410388606897
5-HTPMPV03,vCal3,0.0545200043638584
AN27X013,AN27X013,0.09124033870449051
AN27X013,Am1,1.7875797394065397e-05
AN27X013,CT1,0.06312350635593819
AN27X013,DNc01,0.07035711598995502
AN27X013,DNp30,0.059993486927877794
AN27X013,Dm17,0.04161604120672208
