pre_type,post_type,weight_sum
5-HTPMPV01,AOTU045,0.1043381147813466
5-HTPMPV01,DNp27,0.1039532331550269
5-HTPMPV01,LC22,0.1035111744099528
5-HTPMPV01,LC33,0.20841508401491923
5-HTPMPV01,LOLP1,0.20403428677138613
5-HTPMPV01,LPLC4,0.20549489556972445
5-HTPMPV01,LPT54,0.09019255553994114
5-HTPMPV01,LT36,0.10424361974128153
5-HTPMPV01,LT39,0.10478753147650555
5-HTPMPV01,LT43,0.10412211296199325
5-HTPMPV01,LT55,0.20876633985869003
5-HTPMPV01,LT63,0.20572607236227336
5-HTPMPV01,LT68,0.10526494552114844
5-HTPMPV01,LT69,0.10443116947026058
5-HTPMPV01,LT77,0.10437138295366831
5-HTPMPV01,LT78,0.10360479691851712
5-HTPMPV01,LT84,0.1045156701760801
5-HTPMPV01,LT85,0.10521252464971344
5-HTPMPV01,LT86,0.10382795563586746
5-HTPMPV01,LT88,0.09791430736097613
5-HTPMPV01,Lat2,0.10531068102809814
5-HTPMPV01,Li12,0.1029949290288218
5-HTPMPV01,Li16,0.10288610671142351
5-HTPMPV01,Li31,0.09510994247372755
5-HTPMPV01,Li32,0.08670698541671616
5-HTPMPV01,Li33,0.09702936661173943
5-HTPMPV01,Li38,0.08525852066798761
5-HTPMPV01,Li39,0.07650629521699215
5-HTPMPV01,LoVC18,0.10185734061924243
5-HTPMPV01,LoVC19,0.21019033902129985
5-HTPMPV01,LoVC20,0.10222265910485023
5-HTPMPV01,LoVC3,0.10340742302457463
5-HTPMPV01,LoVC4,0.10282363723864353
5-HTPMPV01,LoVC5,0.10488136150129633
5-HTPMPV01,LoVC9,0.10321002479840709
5-HTPMPV01,LoVCLo2,0.10294391289640772
5-HTPMPV01,LoVCLo3,0.20603872658393035
5-HTPMPV01,LoVP100,0.10472509794221302
5-HTPMPV01,LoVP103,0.10356618544053875
5-HTPMPV01,LoVP30,0.1048450292849878
5-HTPMPV01,LoVP32,0.10552232528540932
5-HTPMPV01,LoVP42,0.1064547216435619
5-HTPMPV01,LoVP44,0.1034594131599079
5-HTPMPV01,LoVP46,0.10613860089315019
5-HTPMPV01,LoVP47,0.10160174243905819
5-HTPMPV01,LoVP48,0.10534479500723366
5-HTPMPV01,LoVP50,0.1013853627642012
5-HTPMPV01,LoVP53,0.09684425841451809
5-HTPMPV01,LoVP54,0.09279912194849427
5-HTPMPV01,LoVP58,0.1035074002120908
5-HTPMPV01,LoVP60,0.10514019879345742
5-HTPMPV01,LoVP65,0.10477225532697602
5-HTPMPV01,LoVP68,0.1038823572056952
5-HTPMPV01,LoVP69,0.10235809378512133
5-HTPMPV01,LoVP70,0.10533519796401436
5-HTPMPV01,LoVP73,0.1050466633621796
