pre_type,post_type,weight_sum
5-HTPMPV01,AOTU045,0.10002080188603663
5-HTPMPV01,DNp27,0.10001734024762426
5-HTPMPV01,LC22,0.09992583333963165
5-HTPMPV01,LC33,0.19998624101690882
5-HTPMPV01,LOLP1,0.1999088799129863
5-HTPMPV01,LPLC4,0.2000561073504
5-HTPMPV01,LPT54,0.10006486849133606
5-HTPMPV01,LT36,0.10004745283697634
5-HTPMPV01,LT39,0.09993352575580929
5-HTPMPV01,LT43,0.09997809948015407
5-HTPMPV01,LT55,0.19986201000552153
5-HTPMPV01,LT63,0.19985539140657477
5-HTPMPV01,LT68,0.09986417572296889
5-HTPMPV01,LT69,0.09996176097389055
5-HTPMPV01,LT77,0.10002688053509765
5-HTPMPV01,LT78,0.10004309261262612
5-HTPMPV01,LT84,0.10000422185352724
5-HTPMPV01,LT85,0.1000191488614387
5-HTPMPV01,LT86,0.09994826392487413
5-HTPMPV01,LT88,0.0999867559103664
5-HTPMPV01,Lat2,0.09997732882625059
5-HTPMPV01,Li12,0.09998990165183498
5-HTPMPV01,Li16,0.1000392561275612
5-HTPMPV01,Li31,0.1000389134402561
5-HTPMPV01,Li32,0.09993515803703065
5-HTPMPV01,Li33,0.1000096275226604
5-HTPMPV01,Li38,0.10005241111227005
5-HTPMPV01,Li39,0.1000827342134045
5-HTPMPV01,LoVC18,0.10001046754418395
5-HTPMPV01,LoVC19,0.19993787465683138
5-HTPMPV01,LoVC20,0.09991686119771778
5-HTPMPV01,LoVC3,0.09997704836575799
5-HTPMPV01,LoVC4,0.10012950581312381
5-HTPMPV01,LoVC5,0.09998208626355351
5-HTPMPV01,LoVC9,0.10007735012357898
5-HTPMPV01,LoVCLo2,0.09997244057082143
5-HTPMPV01,LoVCLo3,0.19980308497722205
5-HTPMPV01,LoVP100,0.09996151370192391
5-HTPMPV01,LoVP103,0.09995251200768125
5-HTPMPV01,LoVP30,0.09998921253752267
5-HTPMPV01,LoVP32,0.100013342836581
5-HTPMPV01,LoVP42,0.1000433227946347
5-HTPMPV01,LoVP44,0.10006943168182396
5-HTPMPV01,LoVP46,0.09997652586909549
5-HTPMPV01,LoVP47,0.09982679761746721
5-HTPMPV01,LoVP48,0.09991544717501936
5-HTPMPV01,LoVP50,0.10003781224085562
5-HTPMPV01,LoVP53,0.10008577714379817
