bin,n_neurons,acc,mi_lb,condition
"(2, 4)",248,0.55,0.21769555143127817,Real
"(2, 5)",231,0.55,0.10731229122956454,Real
"(5, 7)",165,0.4,0.051767508909463356,Real
"(0, 1)",145,0.8833333333333333,0.06331094930524239,Real
"(0, 3)",33,0.5833333333333334,0.04867066060101011,Real
"(0, 0)",29,0.6166666666666667,0.02278640330611914,Real
"(1, 1)",229,0.8,0.3832192432977646,Real
"(1, 3)",235,0.7,0.09169543910469957,Real
"(2, 6)",64,0.45,0.02692099909612189,Real
"(2, 1)",246,0.8,0.1101200591192244,Real
"(1, 0)",150,0.85,0.16858700047208486,Real
"(6, 6)",202,0.4,0.03325964312282226,Real
"(7, 5)",70,0.35,0.03166884982222462,Real
"(3, 5)",215,0.5333333333333333,0.1420138632329393,Real
"(2, 2)",237,0.6333333333333333,0.22728214911605216,Real
"(2, 3)",240,0.6,0.31968058378777386,Real
"(3, 1)",272,0.7666666666666667,0.38302498161030774,Real
"(4, 6)",216,0.45,0.048586040970458155,Real
"(4, 7)",86,0.38333333333333336,0.008055696445250282,Real
"(5, 3)",230,0.55,0.059577807328093035,Real
"(6, 7)",191,0.3333333333333333,0.01976405156130645,Real
"(7, 6)",80,0.4166666666666667,0.03229745812159601,Real
"(5, 5)",225,0.4666666666666667,0.10323496858753378,Real
"(6, 5)",206,0.4166666666666667,0.05235577916845702,Real
"(5, 6)",203,0.43333333333333335,0.07906398731599595,Real
"(5, 2)",132,0.5833333333333334,0.07306767236775302,Real
"(4, 3)",230,0.5833333333333334,0.25103910380698724,Real
"(3, 4)",217,0.5666666666666667,0.12122202339259025,Real
"(4, 4)",212,0.5166666666666667,0.1591864125788256,Real
"(4, 5)",218,0.5,0.07781592812724614,Real
"(6, 3)",99,0.48333333333333334,0.10734613178958674,Real
"(1, 5)",48,0.43333333333333335,0.018478004057912,Real
"(4, 2)",255,0.6166666666666667,0.20741197069085593,Real
"(3, 3)",224,0.65,0.0730036181697371,Real
"(3, 0)",76,0.8833333333333333,0.09565349128901302,Real
"(2, 0)",154,0.8833333333333333,0.13082601244518566,Real
"(3, 2)",255,0.65,0.25236240024224577,Real
"(1, 2)",235,0.6833333333333333,0.27867315628340084,Real
"(4, 1)",125,0.65,0.066344818403274,Real
"(3, 6)",181,0.5333333333333333,0.10835058101332096,Real
"(5, 4)",220,0.55,0.09921328935719465,Real
"(1, 4)",155,0.5666666666666667,0.07163475865357971,Real
"(6, 4)",193,0.4666666666666667,0.10922346353691603,Real
"(0, 2)",111,0.6333333333333333,0.06287627165319476,Real
"(3, 7)",10,0.4666666666666667,0.013858357197192417,Real
"(7, 7)",17,0.36666666666666664,0.0002008026905864213,Real
